"Path","SizeBytes","Sha256"
"bin/x64/Cyberpunk2077.exe","59945608","A7DE82945C03E041FC7339FCF9066224D98DB2F5D80FEA50F7947BB350A60991"
"bin/x64/D3D12/D3D12Core.dll","3351584","BCB57B06D4475F1716FC0788BE1CBE1255D12BA2B687CB9F332A93E649D3DBB9"
"bin/x64/D3D12/d3d12SDKLayers.dll","5080096","251823C48F08E3A48707E2782FE0E0F593A0506481385A3A09B0A6BAD7F15F27"
"bin/x64/d3d12on7/d3d11on12.dll","1560144","4A18EC60416F58EF2A4C5CE7A5F7F9B1D1577746DFBD50C3A348C8E40900263C"
"bin/x64/d3d12on7/d3d12.dll","1906768","5F98349AC0E3B6D06D214303BF5B1644C8E6A7E1B3D590C6C5650492D32661EF"
"bin/x64/d3d12on7/LICENSE.txt","9894","1C29E1D87DAC757A11CDF169107B95DB11C4503436A4EA8BDB33E874A934F8CF"
"bin/x64/dbgcore.dll","174536","4AA03E8A3A89835D2FE52375F2032002D5FC468A38A885BA306EB1F154E2251F"
"bin/x64/dbghelp.dll","1868736","9A02133854FF9F06C3B23A70F8C2A4814B2ED4EEF613244B485E3737259DDF9E"
"bin/x64/dxilconv7.dll","1452616","20099A4AA1207F557A14CC8BAB795A84C479A318929FC8C4CA1FC9DEAEF7FD3E"
"bin/x64/ffx_backend_dx12_x64.dll","12901512","BD2212B435CDD4B1BD66D36DDE8E8F94DE8CD728AF8155848D86005A66A0657D"
"bin/x64/ffx_frameinterpolation_x64.dll","173192","7F702B317FD411B6C529323937434041ED2D0544B1DD80A7D5BA00CEFDFE5803"
"bin/x64/ffx_fsr3_x64.dll","163464","042E083248869E106059E0D08A753DC29CE82122096CBD2A582127C83AB2A793"
"bin/x64/ffx_fsr3upscaler_x64.dll","195208","FAE7BE78FE234BA2DA3729FA7D9C65BDF513C31DEEDA5D95A28AC315FC1D7E0C"
"bin/x64/ffx_opticalflow_x64.dll","179848","DF5C692A58519D82A488B5A551093AC48F5EB17498F211BEA2E3FDE148635C2B"
"bin/x64/freetype.dll","832136","BEC244F9A51AA75D7C3EEA239270D3306BD37689D854842D461ECDB5BB218712"
"bin/x64/GameServicesSteam.dll","37000","B18C48AFF7658534B26F8929C2B9D620FE989BC43E209D0221009DF8AA899033"
"bin/x64/GfnRuntimeSdk.dll","3745848","0B6A487EA1EDD558D4CDCBCE362ABCF5F32ADA5C610F56F08E2E6F4F07016397"
"bin/x64/GFSDK_Aftermath_Lib.x64.dll","1244808","512BC55312CB3F8596E2AEA6458485ED84AAA55A8BC2A5A6E60D5E1DB695FB07"
"bin/x64/icudt.dll","13448","21ADDDA47EC025F43F75C31CA1D437D718D1E8723B517FA06045F5D6849F06E9"
"bin/x64/icuin.dll","2643080","376A23609952AE776337907ED1AE760D5B29FC1A0DFA026033C63C7C3F07F114"
"bin/x64/icuio.dll","71816","B0CD07595BA20FA65F3FDCD33DB7EE3B24CB1D9729E519F8334DA94CBF619237"
"bin/x64/icuuc.dll","1901192","AF9EDDD9A61712AB12992C7001B76F104C8EAEC0169342DE9EDD7B0E896CE47D"
"bin/x64/libcurl.dll","429704","B76D49C92D733703E1A6FAF56D904614453A71208C493EB4A0005D413A6C3D50"
"bin/x64/libeay32.dll","1710216","7353332374D99881C45456AFC8AD44825F42B4C324F45C8A61757246B648EE80"
"bin/x64/libxell.dll","346984","0B127D64483471795C02785E124746116B604C486A2C1CB3A10E0754792DE018"
"bin/x64/libxess_dx11.dll","147816","9E0BB17D627306D7DF07E16C0E08DEEF226332C6746631B7AD8095AC6F463D79"
"bin/x64/libxess_fg.dll","45557608","D82D9ADAB239AF4E49063D0C4D2E1134529F3963879998D7E0DF43A32514CA84"
"bin/x64/libxess.dll","77771112","23B3EBC802185F537423965C2EE9C8AD8ADB5D137B004CE027A4088E629B5FD3"
"bin/x64/nvngx_dlss.dll","44609064","AD3E9C07EE864E9702032459A59C6825166766C2CB75BD0318D5626595693BDB"
"bin/x64/nvngx_dlssd.dll","65630248","519C98E6D3B44D12671525F20E8FC46366A9FBF15AA5D4BC8446D6BA17699E22"
"bin/x64/nvngx_dlssg.dll","7607336","907B036E714A674AA53DBA1ECBB251802A684CB684D1AC2D11DA85742F2EA906"
"bin/x64/nvToolsExt64_1.dll","52872","D3CAF50E0A1A72CA27C5A89F4720436D74521AE218C20B3196040F4AD558E947"
"bin/x64/oo2ext_7_win64.dll","1234056","4F73BE5D986B2B11E04FC29EBE478CD38C03D4D3E51DA7DE5F7D705EA0968EFF"
